#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
158,00007ffc c55ebdd0,"      FFMA.FTZ R7, R28, R27, R7",0,26,28,Floating Point,458752,32,,,,,,,,,
159,00007ffc c55ebde0,@P0   BRA 0x7ffcc55ec9d0,0,24,29,Control,458752,,,,,,,,,,
160,00007ffc c55ebdf0,"      SHF.R.U32.HI R9, RZ, 0x1, R9",0,24,38,Integer,458752,32,,,,,,,,,
161,00007ffc c55ebe00,"      IADD3 R28, P0, P1, R14, R12, R9",0,25,61,Integer,458752,32,,,,,,,,,
162,00007ffc c55ebe10,"      IADD3.X R29, PT, PT, R6, R13, RZ, P0, P1",0,26,39,Integer,458752,32,,,,,,,,,
163,00007ffc c55ebe20,"      LDG.E.U8.CONSTANT R28, desc[UR12][R28.64]",0,26,24,Load/Store,458752,32,Global,Load,8,,3211264,,,,
164,00007ffc c55ebe30,"      SHF.R.U32.HI R27, RZ, 0x4, R28",0,26,129,Integer,458752,32,,,,,,,,,
165,00007ffc c55ebe40,"      IADD3 R28, P0, P1, R20, R10, R9",0,26,15,Integer,458752,32,,,,,,,,,
166,00007ffc c55ebe50,"      F2FP.F16.E2M1.UNPACK_B R9, R27",0,26,11,Other,458752,32,,,,,,,,,
167,00007ffc c55ebe60,"      IADD3.X R29, PT, PT, R26, R11, RZ, P0, P1",0,26,10,Integer,458752,32,,,,,,,,,
168,00007ffc c55ebe70,"      LDG.E.U8.CONSTANT R27, desc[UR12][R28.64]",0,27,31,Load/Store,458752,32,Global,Load,8,,3211264,,,,
169,00007ffc c55ebe80,"      HADD2.F32 R9, -RZ, R9.H0_H0",0,25,4,Floating Point,458752,32,,,,,,,,,
170,00007ffc c55ebe90,"      FMUL.FTZ R9, R2, R9",0,25,26,Floating Point,458752,32,,,,,,,,,
171,00007ffc c55ebea0,"      SHF.R.U32.HI R27, RZ, 0x4, R27",0,25,139,Integer,458752,32,,,,,,,,,
172,00007ffc c55ebeb0,"      F2FP.F16.E2M1.UNPACK_B R27, R27",0,25,43,Other,458752,32,,,,,,,,,
173,00007ffc c55ebec0,"      HADD2.F32 R27, -RZ, R27.H0_H0",0,25,14,Floating Point,458752,32,,,,,,,,,
174,00007ffc c55ebed0,"      FMUL.FTZ R27, R0, R27",0,25,24,Floating Point,458752,32,,,,,,,,,
175,00007ffc c55ebee0,"      FFMA.FTZ R7, R9, R27, R7",0,25,15,Floating Point,458752,32,,,,,,,,,
176,00007ffc c55ebef0,"      VIADD R9, R3, 0x6",0,24,7,Integer,458752,32,,,,,,,,,
177,00007ffc c55ebf00,"      ISETP.GE.AND P0, PT, R9, R4, PT",0,24,62,Integer,458752,32,,,,,,,,,
178,00007ffc c55ebf10,@P0   BRA 0x7ffcc55ec9d0,0,23,50,Control,458752,,,,,,,,,,
179,00007ffc c55ebf20,"      LDG.E.U8.CONSTANT R24, desc[UR12][R24.64+0x1]",0,23,23,Load/Store,458752,32,Global,Load,8,,3211264,,,,
180,00007ffc c55ebf30,"      LDG.E.U8.CONSTANT R22, desc[UR12][R22.64+0x1]",0,22,10,Load/Store,458752,32,Global,Load,8,,3211264,,,,
181,00007ffc c55ebf40,"      VIADD R29, R3, 0x7",0,22,2,Integer,458752,32,,,,,,,,,
182,00007ffc c55ebf50,"      ISETP.GE.AND P0, PT, R29, R4, PT",0,22,57,Integer,458752,32,,,,,,,,,
183,00007ffc c55ebf60,"      LOP3.LUT R9, R24, 0xf, RZ, 0xc0, !PT",0,23,87,Integer,458752,32,,,,,,,,,
184,00007ffc c55ebf70,"      LOP3.LUT R27, R22, 0xf, RZ, 0xc0, !PT",0,23,30,Integer,458752,32,,,,,,,,,
185,00007ffc c55ebf80,"      F2FP.F16.E2M1.UNPACK_B R9, R9",0,22,12,Other,458752,32,,,,,,,,,
186,00007ffc c55ebf90,"      F2FP.F16.E2M1.UNPACK_B R27, R27",0,22,8,Other,458752,32,,,,,,,,,
187,00007ffc c55ebfa0,"      HADD2.F32 R9, -RZ, R9.H0_H0",0,22,10,Floating Point,458752,32,,,,,,,,,
188,00007ffc c55ebfb0,"      HADD2.F32 R27, -RZ, R27.H0_H0",0,22,11,Floating Point,458752,32,,,,,,,,,
189,00007ffc c55ebfc0,"      FMUL.FTZ R28, R2, R9",0,23,15,Floating Point,458752,32,,,,,,,,,
190,00007ffc c55ebfd0,"      FMUL.FTZ R27, R0, R27",0,22,6,Floating Point,458752,32,,,,,,,,,
191,00007ffc c55ebfe0,"      FFMA.FTZ R7, R28, R27, R7",0,22,24,Floating Point,458752,32,,,,,,,,,
192,00007ffc c55ebff0,@P0   BRA 0x7ffcc55ec9d0,0,20,2,Control,458752,,,,,,,,,,
193,00007ffc c55ec000,"      SHF.R.U32.HI R23, RZ, 0x1, R29",0,21,33,Integer,458752,32,,,,,,,,,
194,00007ffc c55ec010,"      IADD3 R24, P0, P1, R14, R12, R23",0,21,52,Integer,458752,32,,,,,,,,,
195,00007ffc c55ec020,"      IADD3 R22, P2, P3, R20, R10, R23",0,22,4,Integer,458752,32,,,,,,,,,
196,00007ffc c55ec030,"      IADD3.X R25, PT, PT, R6, R13, RZ, P0, P1",0,22,5,Integer,458752,32,,,,,,,,,
197,00007ffc c55ec040,"      IADD3.X R23, PT, PT, R26, R11, RZ, P2, P3",0,23,13,Integer,458752,32,,,,,,,,,
