#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
124,00007ffc 155ebbb0,"      F2FP.F16.E2M1.UNPACK_B R18, R18.B3",0,30,1,Other,65536,32,,,,,,,,
125,00007ffc 155ebbc0,"      HFMA2 R15, R15, R31, -RZ",0,30,2,Floating Point,65536,32,,,,,,,,
126,00007ffc 155ebbd0,"      F2FP.F16.E2M1.UNPACK_B R31, R28.B1",0,30,,Other,65536,32,,,,,,,,
127,00007ffc 155ebbe0,"      HFMA2 R10, R14, R30, R10",0,30,1,Floating Point,65536,32,,,,,,,,
128,00007ffc 155ebbf0,"      F2FP.F16.E2M1.UNPACK_B R14, R29.B1",0,29,1,Other,65536,32,,,,,,,,
129,00007ffc 155ebc00,"      F2FP.F16.E2M1.UNPACK_B R30, R28.B2",0,30,15,Other,65536,32,,,,,,,,
130,00007ffc 155ebc10,"      HMUL2 R31, R31, R11.H0_H0",0,30,,Floating Point,65536,32,,,,,,,,
131,00007ffc 155ebc20,"      F2FP.F16.E2M1.UNPACK_B R28, R28.B3",0,30,,Other,65536,32,,,,,,,,
132,00007ffc 155ebc30,"      HFMA2 R14, R14, R31, R15",0,30,23,Floating Point,65536,32,,,,,,,,
133,00007ffc 155ebc40,"      F2FP.F16.E2M1.UNPACK_B R15, R29.B2",0,29,,Other,65536,32,,,,,,,,
134,00007ffc 155ebc50,"      HMUL2 R30, R30, R11.H0_H0",0,29,,Floating Point,65536,32,,,,,,,,
135,00007ffc 155ebc60,"      F2FP.F16.E2M1.UNPACK_B R29, R29.B3",0,29,2,Other,65536,32,,,,,,,,
136,00007ffc 155ebc70,"      HMUL2 R28, R28, R11.H0_H0",0,29,,Floating Point,65536,32,,,,,,,,
137,00007ffc 155ebc80,"      HFMA2 R10, R18, R26, R10",0,28,1,Floating Point,65536,32,,,,,,,,
138,00007ffc 155ebc90,"      HFMA2 R14, R15, R30, R14",0,26,2,Floating Point,65536,32,,,,,,,,
139,00007ffc 155ebca0,"      HFMA2 R14, R29, R28, R14",0,24,18,Floating Point,65536,32,,,,,,,,
140,00007ffc 155ebcb0,"      HADD2.F32 R11, -RZ, R10.H0_H0",0,23,4,Floating Point,65536,32,,,,,,,,
141,00007ffc 155ebcc0,"      HADD2.F32 R10, -RZ, R10.H1_H1",0,23,3,Floating Point,65536,32,,,,,,,,
142,00007ffc 155ebcd0,"      HADD2.F32 R15, -RZ, R14.H0_H0",0,24,3,Floating Point,65536,32,,,,,,,,
143,00007ffc 155ebce0,"      FADD.FTZ R10, R11, R10",0,24,6,Floating Point,65536,32,,,,,,,,
144,00007ffc 155ebcf0,"      HADD2.F32 R14, -RZ, R14.H1_H1",0,23,,Floating Point,65536,32,,,,,,,,
145,00007ffc 155ebd00,"      FADD.FTZ R15, R15, R10",0,23,3,Floating Point,65536,32,,,,,,,,
146,00007ffc 155ebd10,"      FADD.FTZ R14, R14, R15",0,22,9,Floating Point,65536,32,,,,,,,,
147,00007ffc 155ebd20,"      FADD.FTZ R17, R14, R17",0,21,5,Floating Point,65536,32,,,,,,,,
148,00007ffc 155ebd30,@P1   BRA 0x7ffc155eb900,0,20,,Control,65536,16,,,,,,,,
149,00007ffc 155ebd40,      BSYNC.RECONVERGENT B1,0,14,3,Control,32768,32,,,,,,,,
150,00007ffc 155ebd50,@!P0  BRA 0x7ffc155ecb40,0,14,4,Control,32768,,,,,,,,,
151,00007ffc 155ebd60,"      SHF.L.U32 R10, R12, 0x3, RZ",0,15,3,Integer,32768,32,,,,,,,,
