#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
183,00007ffb 7b52e060,"@!P5  SHF.L.U32 R13, R12, 0xb, RZ",0,59,,Integer,512,,,,,,,,,,
184,00007ffb 7b52e070,"@!P5  SHF.L.U32 R12, R12, 0x1, RZ",0,59,,Integer,512,,,,,,,,,,
185,00007ffb 7b52e080,"      IMAD.MOV.U32 R3, RZ, RZ, 0x20",0,60,,Integer,512,32,,,,,,,,,
186,00007ffb 7b52e090,"@!P5  IADD3 R14, PT, PT, -R0, 0x100000, RZ",0,60,,Integer,512,,,,,,,,,,
187,00007ffb 7b52e0a0,"@!P5  SHF.L.U32 R15, R14, 0xb, RZ",0,59,,Integer,512,,,,,,,,,,
188,00007ffb 7b52e0b0,"@!P5  SHF.L.U32 R14, R14, 0x1, RZ",0,59,,Integer,512,,,,,,,,,,
189,00007ffb 7b52e0c0,"@!P5  STS.64 [R7+UR43+0xc0], R12",0,59,,Load/Store,512,,Shared,Store,64,,,,,,
190,00007ffb 7b52e0d0,"      IMAD.MOV.U32 R0, RZ, RZ, 0x20",0,60,,Integer,512,32,,,,,,,,,
191,00007ffb 7b52e0e0,"@!P5  STS.64 [R7+UR43+0xd0], R14",0,60,,Load/Store,512,,Shared,Store,64,,,,,,
192,00007ffb 7b52e0f0,      FENCE.VIEW.ASYNC.S,0,60,,Load/Store,512,32,,,,,,,,,
193,00007ffb 7b52e100,      SYNCS.CCTL.IVALL,0,60,,Load/Store,512,32,,,,,,,,,
194,00007ffb 7b52e110,      NOP,0,60,,Miscellaneous,512,32,,,,,,,,,
195,00007ffb 7b52e120,"      IMAD.MOV.U32 R8, RZ, RZ, 0x1",0,61,,Integer,512,32,,,,,,,,,
196,00007ffb 7b52e130,"@!P4  IADD3 R8, PT, PT, -R8, 0x100000, RZ",0,61,,Integer,512,,,,,,,,,,
